"","x"
"428","Hard to get tested. Throat pain can be from a strep throat (antibiotics needed), a cold or influenza, or from some other cause such as allergies or irritants. Usually, a person sees the doctor (call first) if the sore throat is bothersome, recurrent, or doesn't go away quickly. COVID-19 infections tend to have cough, whereas strep usually lacks cough but has more throat pain. Can call "
"429","In brief:   Local issue   When or where testing is available is a local issue.   Your post does not reveal your location or even the country you are in. We have no access to or information about health plans or services around the world where this site can be seen. You will need to contact a local health department for such information.   Would you like to video or text chat with me?         "
"430","No. Fear does not help us right now. This thing is coming. Angela Merkel said 70% of us will get it. Rather stay isolated and access your doctor via a telephonic consult and keep drinking fluids and also boost your immunity."
"431","Hard to guess. If you are living in an area affected with covid-19 pandemic certainly it arouse suspicion if you are infected. Your age is aginst criteria. It may well be what you have is bronchitis or flu. Isolate yourself and get in touch with your doctor preferably via telemedicine to find out about where you can be tested and your treatment path forward. ."
"432","Possible. Top symptoms include fever, dry cough and SOB. An obvious possibility.  If so, your best step is to self-quarntine. Remember at your age low risk of complication and typically will pass without issue. If worsening SOB be seen. Call your provider or check with local health department. These are Healthtap guidelines:https://www.healthtap.com/blog/covid-19-care-guidelines/self-quarantine-guide."
"433","In brief:   Possible    Top symptoms are cough, SOB and fever. Best to self-quarantine.   Call your provider and or health departmentHealhtap quarantine instructions are as follows:https://www.healthtap.com/blog/covid-19-care-guidelines/self-quarantine-guide  Would you like to video or text chat with me?         "
"434","Contact your doctor. In the mean time self quarantine yourself. If you do not have a doctor call your local health resources  to find out where you can be tested. It may be difficult to come by a testing location in some countries."
"435","In brief:   Yes   I am unaware of any contraindication to using BCP and the virus.   Would you like to video or text chat with me?        "
"436","In brief:   Groceries.    https://www.consumerreports.  org/food-shopping/how-to-protect-yourself-from-coronavirus-when-grocery-shopping/This article will help!  Would you like to video or text chat with me?         "
"437","In brief:   Self quarantine.   Isolate yourself and contact to your doctor by phone or via internet.   You may have flu more than corona virus. Because headache is not a common symptom of the corona virus and your age is not the age that is vulnarable to corona virus.  Would you like to video or text chat with me?         "
"438","In brief:   OTC medications.   You can use over the counter cough and cold medications.   Since covid-19 is endemic in your state you need to contact your mother's doctor and ask how to proceed. Her doctor may want her to be self quarantined and even be tested depending circumstances.  Would you like to video or text chat with me?         "
"439","In brief:   Covid19   HiYou cannot go in and see your doctor,  so I would suggest to phone hime and hear what he says.  RegardsDr Wil  Would you like to video or text chat with me?         "
